month,temp,RH,wind,rain,area
sep,23.5,27,4.0,0.0,3.33
sep,17.7,39,2.2,0.0,3.07
aug,20.2,47,4.0,0.0,3.09
aug,32.3,27,2.2,0.0,14.68
feb,12.4,53,2.2,0.0,6.38
aug,21.0,32,3.1,0.0,0.0
sep,20.6,43,3.6,0.0,2.03
mar,15.2,27,4.9,0.0,0.0
mar,15.2,19,7.6,0.0,0.0
sep,17.1,41,2.2,0.0,11.22
aug,16.6,59,2.7,0.0,0.0
mar,13.3,27,3.6,0.0,6.61
sep,20.8,35,4.9,0.0,1.26
sep,25.4,27,2.2,0.0,0.0
aug,23.6,53,4.0,0.0,6.43
feb,6.7,79,3.1,0.0,0.0
aug,17.7,65,4.0,0.0,0.0
sep,22.9,44,5.4,0.0,0.0
oct,18.4,25,3.1,0.0,24.23
sep,23.9,32,6.7,0.0,5.33
aug,24.3,33,3.6,0.0,3.63
apr,9.3,44,4.5,0.0,0.0
aug,26.7,35,1.8,0.0,5.8
sep,19.3,44,2.2,0.0,3.93
sep,17.8,63,4.9,0.0,0.0
dec,4.6,21,8.5,0.0,22.03
aug,19.1,70,2.2,0.0,0.0
aug,25.6,42,4.0,0.0,0.0
sep,29.6,27,2.7,0.0,1.46
aug,16.3,60,5.4,0.0,0.0
aug,22.1,54,7.6,0.0,0.79
aug,16.6,54,5.4,0.0,0.0
sep,12.2,78,6.3,0.0,0.0
jul,22.8,27,4.5,0.0,1.63
aug,19.9,50,4.0,0.0,82.75
feb,7.5,46,8.0,0.0,24.24
mar,9.0,49,2.2,0.0,0.0
sep,18.0,51,5.4,0.0,0.0
sep,11.2,78,7.6,0.0,0.0
sep,18.9,35,2.7,0.0,0.0
aug,22.3,46,4.0,0.0,0.0
sep,19.4,19,1.3,0.0,31.72
jul,26.3,39,3.1,0.0,7.02
oct,13.8,50,2.7,0.0,0.0
sep,20.4,55,4.9,0.0,3.64
aug,23.7,32,5.8,0.0,0.0
oct,16.7,47,4.9,0.0,0.0
aug,24.6,22,4.5,0.0,8.71
sep,23.0,37,4.5,0.0,0.0
jul,12.6,90,7.6,0.2,0.0
jul,29.3,27,3.6,0.0,6.3
aug,23.4,22,2.7,0.0,0.0
sep,24.8,28,1.8,0.0,14.29
sep,16.8,47,4.9,0.0,12.64
aug,19.5,43,5.8,0.0,0.0
aug,20.1,58,4.5,0.0,9.27
jun,10.6,90,2.7,0.0,0.0
aug,20.3,42,2.7,0.0,0.0
aug,22.2,29,5.4,0.0,0.0
mar,11.6,30,6.3,0.0,0.0
sep,25.9,24,4.0,0.0,0.0
sep,17.6,46,3.1,0.0,7.04
mar,15.1,27,5.4,0.0,0.0
jul,22.6,57,4.9,0.0,278.53
sep,16.4,27,3.6,0.0,0.0
mar,8.3,97,4.0,0.2,0.0
sep,17.7,25,3.1,0.0,154.88
aug,21.3,44,4.5,0.0,12.18
mar,11.5,39,5.8,0.0,0.0
mar,13.7,43,5.8,0.0,0.0
jul,23.4,31,5.4,0.0,0.0
aug,26.2,36,4.5,0.0,185.76
sep,22.8,39,3.6,0.0,0.0
dec,5.1,61,8.0,0.0,11.19
jun,19.2,38,4.5,0.0,0.0
sep,19.0,34,5.8,0.0,0.0
aug,8.0,86,2.2,0.0,0.0
oct,19.1,32,4.0,0.0,5.44
mar,11.2,41,5.4,0.0,5.55
sep,20.3,45,3.1,0.0,0.0
oct,11.3,60,5.4,0.0,0.0
aug,18.4,45,3.6,0.0,1.63
aug,31.0,27,5.4,0.0,0.0
mar,10.6,30,4.0,0.0,0.0
mar,15.8,27,7.6,0.0,0.0
aug,19.4,55,4.0,0.0,0.17
aug,20.3,39,4.9,0.0,4.53
aug,30.8,19,4.5,0.0,0.0
sep,12.8,64,3.6,0.0,1.64
aug,23.8,32,5.4,0.0,0.77
jul,19.3,39,7.2,0.0,7.73
sep,20.7,46,2.7,0.0,30.18
aug,5.1,96,5.8,0.0,26.0
sep,16.8,28,4.0,0.0,7.21
aug,32.6,26,3.1,0.0,2.77
aug,30.6,28,3.6,0.0,2.07
aug,23.3,31,4.5,0.0,0.55
aug,21.1,54,2.2,0.0,0.0
sep,19.6,33,5.4,0.0,0.0
sep,19.9,44,3.1,0.0,7.8
mar,14.6,26,9.4,0.0,2.53
aug,27.8,35,2.7,0.0,0.0
aug,20.9,66,4.9,0.0,15.34
sep,28.3,26,3.1,0.0,64.1
sep,24.3,25,4.0,0.0,9.41
aug,17.9,44,2.2,0.0,0.0
sep,17.4,56,5.4,0.0,0.0
aug,26.2,34,5.8,0.0,0.0
aug,27.4,22,4.0,0.0,0.9
aug,20.8,32,6.3,0.0,0.0
jul,24.6,43,1.8,0.0,1.43
jul,30.2,22,4.9,0.0,0.0
aug,28.7,28,2.7,0.0,0.0
aug,16.6,47,0.9,0.0,0.0
sep,24.1,29,4.5,0.0,0.0
mar,5.3,70,4.5,0.0,2.14
sep,17.8,56,1.8,0.0,1.95
sep,22.6,38,3.6,0.0,11.32
aug,26.8,38,6.3,0.0,0.76
sep,27.6,30,1.3,0.0,0.0
sep,18.6,24,5.8,0.0,0.0
aug,16.4,43,4.0,0.0,71.3
aug,24.1,43,6.3,0.0,2.0
aug,19.6,36,3.1,0.0,0.0
sep,20.6,55,5.4,0.0,24.59
apr,10.9,64,3.1,0.0,3.35
aug,11.2,84,7.6,0.0,3.3
sep,21.1,35,2.7,0.0,5.65
feb,8.2,53,9.4,0.0,4.62
sep,9.8,86,1.8,0.0,0.0
aug,21.4,42,3.1,0.0,4.25
aug,23.4,40,5.8,0.0,1.29
aug,24.9,42,5.4,0.0,2.44
feb,5.3,68,1.8,0.0,0.0
dec,2.2,59,4.9,0.0,9.27
oct,21.7,24,4.5,0.0,0.0
apr,5.8,54,5.8,0.0,10.93
sep,21.7,38,2.2,0.0,0.43
sep,15.4,57,4.9,0.0,39.35
aug,23.9,42,2.2,0.0,0.0
jul,25.3,39,0.9,0.0,8.0
aug,20.7,69,4.9,0.4,0.0
feb,12.3,51,0.9,0.0,0.0
feb,5.1,77,5.4,0.0,2.14
mar,18.8,18,4.5,0.0,0.0
mar,17.4,25,4.9,0.0,0.0
mar,13.8,24,5.8,0.0,0.0
aug,24.1,27,3.1,0.0,0.0
jul,14.2,58,4.0,0.0,0.0
sep,18.7,50,2.2,0.0,5.97
sep,21.3,35,2.2,0.0,28.19
aug,20.5,35,4.0,0.0,1.64
jun,23.2,39,5.4,0.0,1.19
sep,21.9,43,4.0,0.0,70.76
oct,17.8,27,4.0,0.0,0.0
sep,16.8,28,4.0,0.0,1.01
sep,13.9,59,6.3,0.0,11.24
aug,23.4,49,5.4,0.0,6.43
mar,13.2,40,5.4,0.0,0.95
sep,21.8,34,2.2,0.0,6.04
sep,24.2,28,3.6,0.0,0.96
sep,19.7,41,1.8,0.0,1.58
aug,27.5,29,4.5,0.0,43.32
sep,17.9,45,3.1,0.0,0.0
aug,25.0,36,4.0,0.0,0.0
feb,12.7,48,1.8,0.0,0.0
jul,16.6,53,5.4,0.0,0.71
apr,13.4,75,1.8,0.0,0.0
sep,17.0,67,4.9,0.0,3.95
mar,17.4,24,5.4,0.0,0.0
sep,18.4,42,2.2,0.0,1.09
sep,22.5,42,5.4,0.0,0.0
oct,16.8,45,4.5,0.0,6.83
feb,8.8,68,2.2,0.0,13.05
aug,25.7,39,5.4,0.0,0.09
aug,33.1,25,4.0,0.0,26.43
sep,19.0,52,2.2,0.0,0.0
sep,17.3,45,4.0,0.0,3.94
sep,23.8,35,3.6,0.0,5.18
feb,14.2,46,4.0,0.0,0.0
jul,18.7,53,1.8,0.0,0.0
oct,20.6,24,5.4,0.0,0.0
sep,25.3,27,2.7,0.0,0.0
jul,13.4,79,3.6,0.0,37.02
sep,16.2,58,3.6,0.0,0.0
mar,15.2,27,3.1,0.0,31.86
oct,15.4,35,0.9,0.0,0.0
aug,23.9,38,6.7,0.0,0.0
aug,32.4,27,2.2,0.0,0.0
sep,19.3,44,2.2,0.0,0.0
aug,23.3,34,3.1,0.0,28.74
jun,15.4,45,2.2,0.0,0.0
sep,19.6,45,3.1,0.0,20.03
jun,19.1,39,5.4,0.0,3.52
jul,17.1,67,3.6,0.0,6.57
aug,21.9,42,2.2,0.0,174.63
sep,17.4,57,4.5,0.0,0.0
sep,22.8,39,3.6,0.0,0.0
aug,14.4,66,5.4,0.0,5.23
aug,17.4,54,3.1,0.0,0.0
sep,10.1,75,3.6,0.0,0.0
sep,22.7,35,2.2,0.0,7.48
aug,27.3,63,4.9,6.4,10.82
sep,13.8,77,7.6,0.0,11.06
sep,24.3,36,3.1,0.0,105.66
aug,18.9,64,4.9,0.0,0.0
jun,24.5,50,3.1,0.0,70.32
sep,17.8,67,2.2,0.0,2.01
sep,17.2,58,1.3,0.0,0.0
sep,21.5,15,0.9,0.0,11.06
aug,20.6,59,0.9,0.0,0.0
sep,18.7,43,2.7,0.0,103.39
mar,15.5,27,6.3,0.0,0.0
aug,10.3,74,2.2,0.0,0.0
sep,13.8,77,7.6,0.0,0.0
sep,15.4,57,4.5,0.0,37.71
aug,24.1,50,4.0,0.0,0.0
sep,20.8,35,4.9,0.0,13.06
sep,17.2,43,3.1,0.0,0.0
jul,23.4,40,6.3,0.0,0.0
sep,22.3,48,4.0,0.0,0.72
aug,21.4,33,3.1,0.0,0.0
aug,16.2,63,2.7,0.0,16.33
sep,18.1,54,3.1,0.0,2.13
sep,17.6,42,3.1,0.0,0.0
sep,10.3,78,4.0,0.0,18.3
sep,12.9,74,4.9,0.0,0.0
jul,27.2,28,1.3,0.0,1.76
aug,18.6,44,4.5,0.0,0.0
feb,8.8,35,3.1,0.0,1.1
sep,21.5,15,0.9,0.0,0.0
aug,15.4,66,4.0,0.0,10.13
mar,11.5,39,5.8,0.0,7.19
feb,10.1,62,1.8,0.0,51.78
sep,19.0,34,5.8,0.0,1.69
aug,17.0,72,6.7,0.0,0.0
sep,18.2,62,4.5,0.0,0.0
sep,30.2,24,2.7,0.0,0.0
sep,21.9,35,1.8,0.0,2.57
aug,21.2,51,8.9,0.0,0.61
feb,14.7,42,2.7,0.0,0.0
aug,26.8,35,1.3,0.0,0.54
sep,18.6,49,3.6,0.0,35.88
sep,17.8,64,1.3,0.0,0.0
aug,21.5,34,2.2,0.0,0.0
apr,15.2,51,2.7,0.0,0.0
aug,20.5,58,2.7,0.0,42.87
sep,15.4,53,6.3,0.0,7.31
feb,7.5,71,6.3,0.0,9.96
sep,18.3,45,2.2,0.0,4.88
aug,18.4,42,6.7,0.0,0.0
aug,19.3,61,4.9,0.0,0.0
jun,28.0,34,4.5,0.0,0.0
aug,22.9,31,7.2,0.0,15.45
feb,4.2,51,4.0,0.0,0.0
sep,19.7,39,2.7,0.0,0.0
aug,18.9,41,3.1,0.0,10.34
aug,26.9,31,3.6,0.0,4.96
mar,11.4,99,1.8,0.0,0.0
aug,23.9,41,2.2,0.0,8.02
sep,14.5,76,7.6,0.0,3.71
aug,19.8,39,5.4,0.0,0.0
oct,16.1,44,4.0,0.0,49.37
sep,19.1,46,2.2,0.0,0.33
mar,11.0,46,5.8,0.0,27.35
aug,22.2,45,3.6,0.0,0.0
aug,17.4,50,4.0,0.0,2.69
aug,11.6,87,4.5,0.0,0.0
jul,22.9,40,1.3,0.0,2.64
mar,17.0,27,4.9,0.0,28.66
mar,5.5,59,6.3,0.0,0.0
jul,23.0,36,3.1,0.0,0.0
sep,20.6,37,1.8,0.0,0.0
aug,23.7,24,3.1,0.0,0.0
sep,21.2,32,2.2,0.0,0.0
sep,21.6,33,2.2,0.0,11.53
aug,18.9,64,4.9,0.0,0.0
sep,19.4,48,1.3,0.0,0.0
aug,20.4,56,2.2,0.0,0.0
sep,26.4,21,4.5,0.0,88.49
aug,28.3,32,4.0,0.0,8.85
mar,8.7,51,5.8,0.0,0.0
jul,24.2,32,1.8,0.0,0.0
mar,15.2,31,8.5,0.0,1.94
aug,14.2,73,2.7,0.0,0.0
jul,18.0,42,2.7,0.0,0.36
aug,18.8,35,4.9,0.0,0.0
aug,17.6,52,5.8,0.0,0.0
oct,15.9,46,3.6,0.0,0.0
aug,30.8,30,4.9,0.0,8.59
sep,13.1,63,5.4,0.0,0.0
sep,24.1,27,3.1,0.0,0.0
jul,30.2,25,4.5,0.0,2.75
aug,23.1,31,3.1,0.0,0.0
jun,20.7,25,4.9,0.0,0.0
sep,26.4,21,4.5,0.0,0.0
sep,28.6,27,2.2,0.0,1.61
jul,23.3,37,3.1,0.0,0.0
jan,5.2,100,0.9,0.0,0.0
jul,18.2,82,4.5,0.0,2.21
aug,27.5,27,4.9,0.0,746.28
sep,16.9,60,1.3,0.0,29.48
dec,4.6,21,8.5,0.0,9.77
sep,10.5,77,4.0,0.0,0.0
sep,16.2,58,3.6,0.0,9.96
sep,23.0,34,2.2,0.0,56.04
sep,18.2,46,1.8,0.0,200.94
sep,20.7,37,2.2,0.0,17.2
sep,20.1,47,4.9,0.0,26.13
jun,22.2,48,1.3,0.0,0.0
may,18.0,40,4.0,0.0,38.48
aug,24.0,36,3.1,0.0,0.24
aug,18.5,73,8.5,0.0,0.0
jun,14.3,79,4.0,0.0,1.94
jun,19.2,38,4.5,0.0,0.0
sep,10.1,75,3.6,0.0,3.71
aug,19.1,53,2.7,0.0,4.4
mar,12.4,54,3.6,0.0,12.1
aug,20.3,41,4.0,0.0,1.9
sep,19.6,48,2.7,0.0,0.0
sep,12.4,73,6.3,0.0,30.32
sep,22.8,46,4.0,0.0,4.95
mar,11.7,33,4.0,0.0,8.31
sep,24.9,27,2.2,0.0,0.0
aug,23.7,40,1.8,0.0,1.38
mar,12.7,52,6.3,0.0,0.0
aug,20.4,42,4.9,0.0,0.0
aug,23.3,34,3.1,0.0,0.0
oct,18.0,33,0.9,0.0,0.0
jul,17.9,48,2.7,0.0,0.0
aug,21.6,65,4.9,0.8,0.0
mar,11.0,46,5.8,0.0,0.0
aug,24.8,36,4.0,0.0,3.05
aug,19.5,39,6.3,0.0,0.0
sep,22.1,34,1.8,0.0,14.57
sep,21.2,32,2.7,0.0,0.0
sep,19.4,45,3.6,0.0,0.0
aug,19.3,39,3.6,0.0,1.56
aug,27.9,33,2.2,0.0,2.35
aug,19.4,71,7.6,0.0,46.7
sep,15.9,38,5.4,0.0,1.75
mar,17.4,24,5.4,0.0,0.0
sep,20.4,41,1.8,0.0,1.47
aug,28.7,33,4.0,0.0,0.0
aug,20.4,42,4.9,0.0,0.0
sep,16.8,43,3.1,0.0,5.83
aug,21.8,53,3.1,0.0,6.54
apr,16.7,20,3.1,0.0,0.0
sep,21.3,42,2.2,0.0,0.0
sep,18.5,30,2.7,0.0,0.0
sep,25.3,36,3.6,0.0,0.0
mar,11.6,48,5.4,0.0,0.0
dec,4.8,57,8.5,0.0,8.98
aug,16.6,47,0.9,0.0,2.29
sep,19.7,35,1.8,0.0,0.0
aug,18.2,62,5.4,0.0,0.43
mar,14.9,38,2.7,0.0,0.0
sep,17.1,53,5.4,0.0,0.41
aug,33.3,26,2.7,0.0,40.54
sep,21.6,28,6.3,0.0,4.41
aug,21.9,73,7.6,1.0,0.0
aug,17.6,45,3.6,0.0,0.0
sep,15.9,53,2.2,0.0,2.93
sep,20.8,17,1.3,0.0,0.0
apr,17.6,27,5.8,0.0,0.0
aug,14.2,53,1.8,0.0,3.5
aug,17.3,80,4.5,0.0,0.0
mar,11.5,60,4.0,0.0,8.24
aug,21.2,70,6.7,0.0,11.16
feb,4.6,82,6.3,0.0,5.39
sep,21.0,42,2.2,0.0,7.3
jun,22.7,40,9.4,0.0,3.19
aug,20.7,45,2.2,0.0,2.55
feb,13.9,40,5.4,0.0,0.0
jun,26.4,35,2.7,0.0,10.08
mar,11.8,35,1.8,0.0,0.0
sep,12.2,66,4.9,0.0,6.1
aug,19.6,41,5.8,0.0,196.48
aug,22.1,37,3.6,0.0,0.21
sep,19.1,38,2.7,0.0,0.0
sep,24.3,27,4.9,0.0,0.0
aug,15.5,72,8.0,0.0,1.94
mar,16.1,29,3.1,0.0,1.75
dec,4.6,21,8.5,0.0,17.85
jul,14.8,78,8.0,0.0,0.0
aug,24.2,28,2.7,0.0,8.68
aug,20.9,50,2.2,0.0,16.0
jul,26.9,28,5.4,0.0,86.45
aug,26.4,33,3.6,0.0,0.0
aug,32.4,21,4.5,0.0,0.0
sep,15.9,51,4.5,0.0,2.18
aug,21.4,44,2.7,0.0,0.68
sep,16.0,45,1.8,0.0,0.0
sep,23.7,25,4.5,0.0,1.12
feb,15.4,40,2.7,0.0,0.0
jul,24.8,29,2.2,0.0,1.36
sep,21.1,39,2.2,0.0,8.12
aug,19.8,39,5.4,0.0,0.0
aug,10.4,75,0.9,0.0,0.0
sep,22.4,34,2.2,0.0,0.0
aug,18.9,64,4.9,0.0,3.32
sep,24.2,27,3.1,0.0,6.58
mar,17.0,27,4.9,0.0,28.66
mar,10.2,45,5.8,0.0,3.18
aug,17.1,43,5.4,0.0,0.0
nov,11.8,31,4.5,0.0,0.0
sep,18.3,40,2.7,0.0,0.0
mar,13.3,42,0.9,0.0,7.4
sep,17.7,37,3.6,0.0,0.0
mar,18.2,29,3.1,0.0,0.0
aug,21.8,56,3.1,0.0,0.52
jul,23.8,51,1.8,0.0,0.0
aug,20.1,40,4.0,0.0,0.0
