iter	Passed	Remaining
0	0	91
1	1	81
2	2	78
3	3	76
4	3	74
5	4	73
6	5	71
7	6	70
8	6	69
9	7	68
10	8	67
11	9	66
12	9	65
13	10	64
14	11	64
15	12	63
16	12	62
17	13	61
18	14	60
19	15	60
20	15	59
21	16	58
22	17	57
23	17	56
24	18	56
25	19	55
26	20	54
27	20	53
28	21	53
29	22	52
30	23	51
31	23	50
32	24	50
33	25	49
34	26	48
35	26	47
36	27	47
37	28	46
38	29	45
39	29	44
40	30	44
41	31	43
42	32	42
43	32	41
44	33	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	36
51	39	36
52	39	35
53	40	34
54	41	33
55	41	32
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	46	27
63	47	26
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	55	19
74	55	18
75	56	17
76	57	17
77	58	16
78	58	15
79	59	14
80	60	14
81	61	13
82	61	12
83	62	11
84	63	11
85	64	10
86	65	9
87	65	8
88	66	8
89	67	7
90	67	6
91	68	5
92	69	5
93	70	4
94	70	3
95	71	2
96	72	2
97	73	1
98	73	0
99	74	0
